球隊,分區,場數,投籃,三分,罰球,進攻籃板,防守籃板,總籃板,助攻,抄截,阻攻,失誤,犯規,得分
亞特蘭大老鷹,東岸東南組,43,.476,.377,.791,10.74,34.09,44.83,28.51,9.51,5.53,16.09,19.79,118.9
波士頓塞爾提克,東岸大西洋組,43,.451,.348,.789,10.58,33.86,44.44,24.23,6.97,4.25,12.74,18.62,108.0
夏洛特黃蜂,東岸東南組,40,.466,.352,.783,10.60,33.47,44.07,26.67,8.17,5.57,13.65,19.20,113.0
芝加哥公牛,東岸中央組,44,.471,.336,.778,11.06,35.86,46.93,28.70,8.22,4.95,11.65,16.38,119.9
克里夫蘭騎士,東岸中央組,43,.458,.367,.782,10.79,32.83,43.62,25.76,7.60,4.60,14.23,18.88,111.5
達拉斯獨行俠,西岸西南組,44,.453,.360,.774,12.04,32.59,44.63,26.22,8.52,4.56,13.25,19.00,111.8
丹佛金塊,西岸西北組,43,.462,.351,.772,11.44,31.04,42.48,29.39,9.00,5.46,12.95,19.81,115.3
底特律活塞,東岸中央組,44,.465,.371,.774,10.20,32.11,42.31,25.38,9.79,4.65,13.79,17.84,112.9
金州勇士,西岸太平洋組,43,.459,.359,.780,10.51,34.48,45.00,26.27,7.62,6.25,13.97,17.27,111.4
休士頓火箭,西岸西南組,43,.450,.360,.739,10.93,32.14,43.07,22.58,8.00,5.95,14.76,19.88,107.8
印第安那溜馬,東岸中央組,43,.470,.352,.779,11.04,33.00,44.04,25.72,7.58,4.53,13.62,18.58,114.5
洛杉磯快艇,西岸太平洋組,42,.453,.340,.760,10.09,32.50,42.59,25.07,9.50,4.73,14.88,17.52,106.6
洛杉磯湖人,西岸太平洋組,41,.477,.363,.786,11.00,32.92,43.92,27.78,7.75,4.26,13.34,19.68,113.2
曼斐斯灰熊,西岸西南組,44,.448,.348,.755,11.72,31.50,43.22,25.95,9.29,5.84,15.81,21.25,115.0
邁阿密熱火,東岸東南組,42,.462,.358,.789,11.16,34.45,45.61,26.97,7.23,5.14,13.19,17.76,110.1
密爾瓦基公鹿,東岸中央組,42,.448,.351,.792,10.26,34.45,44.71,25.16,7.61,3.95,12.54,18.57,110.3
明尼蘇達灰狼,西岸西北組,44,.453,.346,.785,11.25,32.02,43.27,24.18,9.27,4.72,13.75,18.86,108.1
布魯克林籃網,東岸大西洋組,45,.488,.377,.776,9.37,33.08,42.46,27.24,8.42,5.75,14.00,19.17,113.5
紐奧良鵜鶘,西岸西南組,44,.480,.361,.793,12.02,34.29,46.31,28.02,8.77,5.56,14.09,17.95,117.2
紐約尼克,東岸大西洋組,45,.468,.377,.785,10.55,30.37,40.93,25.46,6.88,4.82,13.33,19.13,110.6
奧克拉荷馬雷霆,西岸西北組,44,.428,.324,.758,12.20,34.31,46.52,24.04,6.65,4.79,17.95,17.86,103.7
奧蘭多魔術,東岸東南組,45,.471,.367,.771,8.42,32.82,41.24,22.31,8.02,4.26,15.93,20.77,104.4
費城76人,東岸大西洋組,42,.488,.366,.790,10.33,33.81,44.14,27.09,7.21,5.45,15.95,19.61,112.3
鳳凰城太陽,西岸太平洋組,43,.461,.358,.778,12.11,33.00,45.11,26.41,8.14,4.16,12.18,19.46,113.7
波特蘭拓荒者,西岸西北組,43,.478,.377,.796,12.09,32.86,44.95,27.20,9.62,5.83,13.93,18.51,116.4
沙加緬度國王,西岸太平洋組,43,.463,.375,.795,9.83,33.30,43.14,25.86,7.72,4.48,14.34,19.09,113.9
聖安東尼奧馬刺,西岸西南組,41,.459,.358,.786,11.80,33.85,45.65,26.14,8.61,4.46,12.39,18.29,113.0
多倫多暴龍,東岸大西洋組,43,.472,.368,.773,11.69,32.25,43.95,26.62,9.34,5.81,13.44,18.55,117.9
猶他爵士,西岸西北組,42,.476,.356,.764,11.35,31.14,42.50,28.31,10.02,6.40,11.47,19.95,118.3
華盛頓巫師,東岸東南組,42,.476,.363,.785,12.61,36.11,48.73,28.47,9.50,5.69,12.52,18.04,122.5